present_time Collisions Collision_rate
0.000000 0 0
1.000000 0 0
2.000000 1 0.5
3.000000 4 1.33333
4.000000 7 1.75
5.000000 12 2.4
6.000000 15 2.5
7.000000 18 2.57143
8.000000 19 2.375
9.000000 22 2.44444
10.000000 23 2.3
11.000000 26 2.36364
12.000000 29 2.41667
13.000000 29 2.23077
14.000000 31 2.21429
15.000000 33 2.2
16.000000 33 2.0625
17.000000 35 2.05882
18.000000 36 2
19.000000 36 1.89474
20.000000 36 1.8
21.000000 36 1.71429
22.000000 37 1.68182
23.000000 38 1.65217
24.000000 39 1.625
25.000000 40 1.6
26.000000 40 1.53846
27.000000 41 1.51852
28.000000 43 1.53571
29.000000 46 1.58621
30.000000 48 1.6
31.000000 50 1.6129
32.000000 51 1.59375
33.000000 54 1.63636
34.000000 58 1.70588
35.000000 61 1.74286
36.000000 61 1.69444
37.000000 61 1.64865
38.000000 61 1.60526
39.000000 63 1.61538
40.000000 64 1.6
41.000000 66 1.60976
42.000000 68 1.61905
43.000000 72 1.67442
44.000000 76 1.72727
45.000000 80 1.77778
46.000000 82 1.78261
47.000000 87 1.85106
48.000000 90 1.875
49.000000 95 1.93878
50.000000 99 1.98
51.000000 102 2
52.000000 106 2.03846
53.000000 110 2.07547
54.000000 112 2.07407
55.000000 114 2.07273
56.000000 118 2.10714
57.000000 122 2.14035
58.000000 124 2.13793
59.000000 128 2.16949
60.000000 131 2.18333
61.000000 135 2.21311
62.000000 137 2.20968
63.000000 137 2.1746
64.000000 137 2.14062
65.000000 138 2.12308
66.000000 138 2.09091
67.000000 139 2.07463
68.000000 141 2.07353
69.000000 143 2.07246
70.000000 144 2.05714
71.000000 144 2.02817
72.000000 144 2
73.000000 145 1.9863
74.000000 145 1.95946
75.000000 147 1.96
76.000000 149 1.96053
77.000000 151 1.96104
78.000000 153 1.96154
79.000000 154 1.94937
80.000000 154 1.925
81.000000 156 1.92593
82.000000 156 1.90244
83.000000 156 1.87952
84.000000 156 1.85714
85.000000 156 1.83529
86.000000 156 1.81395
87.000000 157 1.8046
88.000000 158 1.79545
89.000000 159 1.78652
90.000000 160 1.77778
91.000000 161 1.76923
92.000000 162 1.76087
93.000000 163 1.75269
94.000000 163 1.73404
95.000000 164 1.72632
96.000000 165 1.71875
97.000000 167 1.72165
98.000000 169 1.72449
99.000000 170 1.71717
100.000000 170 1.7
101.000000 172 1.70297
102.000000 173 1.69608
103.000000 173 1.67961
104.000000 173 1.66346
105.000000 175 1.66667
106.000000 177 1.66981
107.000000 177 1.65421
108.000000 178 1.64815
109.000000 178 1.63303
110.000000 178 1.61818
111.000000 180 1.62162
112.000000 182 1.625
113.000000 183 1.61947
114.000000 185 1.62281
115.000000 187 1.62609
116.000000 189 1.62931
117.000000 191 1.63248
118.000000 194 1.64407
