present_time MissedSells MissedSells_rate
0.000000 0 0
0.200000 0 0
0.400000 0 0
0.600000 0 0
0.800000 0 0
1.000000 0 0
1.200000 0 0
1.400000 0 0
1.472270 0 0
1.510162 0 0
1.572270 0 0
1.600000 0 0
1.600509 0 0
1.610162 0 0
1.672270 0 0
1.698647 0 0
1.700509 0 0
1.710162 0 0
1.772270 0 0
1.798647 0 0
1.800000 0 0
1.800509 0 0
1.810162 0 0
1.842060 0 0
1.872270 0 0
1.898647 0 0
1.900509 0 0
1.910162 0 0
1.942060 0 0
1.972270 0 0
1.998647 0 0
2.000000 0 0
2.000509 0 0
2.010162 0 0
2.042060 0 0
2.072270 0 0
2.098647 0 0
2.100509 0 0
2.110162 0 0
2.142060 0 0
2.172270 0 0
2.198647 0 0
2.200000 0 0
2.200509 0 0
2.210162 0 0
2.242060 0 0
2.272270 0 0
2.298647 0 0
2.300509 0 0
2.310162 0 0
2.342060 0 0
2.372270 0 0
2.398647 0 0
2.400000 0 0
2.400509 0 0
2.410162 0 0
2.442060 0 0
2.472270 0 0
2.498647 0 0
2.500509 0 0
2.510162 0 0
2.542060 0 0
2.572270 0 0
2.598647 0 0
2.600000 0 0
2.600509 0 0
2.610162 0 0
2.642060 0 0
2.672270 0 0
2.698647 0 0
2.700509 0 0
2.710162 0 0
2.742060 0 0
2.772270 0 0
2.798647 0 0
2.800000 0 0
2.800509 0 0
2.810162 0 0
2.842060 0 0
2.872270 0 0
2.898647 0 0
2.900509 0 0
2.910162 0 0
2.942060 0 0
2.972270 0 0
2.998647 0 0
3.000000 0 0
3.000509 0 0
3.010162 0 0
3.042060 0 0
3.072270 0 0
3.098647 0 0
3.100509 0 0
3.110162 0 0
3.142060 0 0
3.172270 0 0
3.198647 0 0
3.200000 0 0
3.200509 0 0
3.210162 0 0
3.242060 0 0
3.272270 0 0
3.298647 0 0
3.300509 0 0
3.310162 0 0
3.342060 0 0
3.372270 0 0
3.398647 0 0
3.400000 0 0
3.400509 0 0
3.410162 0 0
3.442060 0 0
3.472270 0 0
3.498647 0 0
3.500509 0 0
3.510162 0 0
3.542060 0 0
3.572270 0 0
3.598647 0 0
3.600000 0 0
3.600509 0 0
3.610162 0 0
3.642060 0 0
3.672270 0 0
3.698647 0 0
3.700000 0 0
3.700509 0 0
3.710162 0 0
3.742060 0 0
3.772270 0 0
3.798647 0 0
3.800000 0 0
3.800509 0 0
3.810162 0 0
3.842060 0 0
3.872270 0 0
3.898647 0 0
3.900000 0 0
3.900509 0 0
3.910162 0 0
3.942060 0 0
3.972270 0 0
3.998647 0 0
4.000000 0 0
4.000509 0 0
4.010162 0 0
4.042060 0 0
4.072270 0 0
4.098647 0 0
4.100509 0 0
4.110162 0 0
4.142060 0 0
4.172270 0 0
4.198647 0 0
4.200000 0 0
4.200509 0 0
4.206354 0 0
4.210162 0 0
4.242060 0 0
4.272270 0 0
4.298647 0 0
4.300509 0 0
4.310162 0 0
4.342060 0 0
4.372270 0 0
4.398647 0 0
4.400000 0 0
4.400509 0 0
4.406354 0 0
4.410162 0 0
4.442060 0 0
4.472270 0 0
4.498647 0 0
4.500509 0 0
4.510162 0 0
4.542060 0 0
4.572270 0 0
4.598647 0 0
4.600000 0 0
