present_time MissedSells MissedSells_rate
0.001000 0 0
0.011000 0 0
0.021000 0 0
0.031000 0 0
0.041000 0 0
0.051000 0 0
0.061000 0 0
0.071000 0 0
0.081000 0 0
0.091000 0 0
0.101000 0 0
0.111000 0 0
0.121000 0 0
0.131000 0 0
0.141000 0 0
0.151000 0 0
0.161000 0 0
0.171000 0 0
0.181000 0 0
0.191000 0 0
0.201000 0 0
0.211000 0 0
0.221000 0 0
0.231000 0 0
0.241000 0 0
0.251000 0 0
0.261000 0 0
0.271000 0 0
0.281000 0 0
0.291000 0 0
0.301000 0 0
0.311000 0 0
0.321000 0 0
0.331000 0 0
0.341000 0 0
0.351000 0 0
0.361000 0 0
0.371000 0 0
0.381000 0 0
0.391000 0 0
0.401000 0 0
0.411000 0 0
0.421000 0 0
0.431000 0 0
0.441000 0 0
0.451000 0 0
0.461000 0 0
0.471000 0 0
0.481000 0 0
0.491000 0 0
0.501000 0 0
0.511000 0 0
0.521000 0 0
0.531000 0 0
0.541000 0 0
0.551000 0 0
0.561000 0 0
0.571000 0 0
0.581000 0 0
0.591000 0 0
0.601000 0 0
0.611000 0 0
0.621000 0 0
0.631000 0 0
0.641000 0 0
0.651000 0 0
0.661000 0 0
0.671000 0 0
0.681000 0 0
0.691000 0 0
0.701000 0 0
0.711000 0 0
0.721000 0 0
0.731000 0 0
0.741000 0 0
0.751000 0 0
0.761000 0 0
0.771000 0 0
0.781000 0 0
0.791000 0 0
0.801000 0 0
0.811000 0 0
0.821000 0 0
0.831000 0 0
0.841000 0 0
0.851000 0 0
0.861000 0 0
0.871000 0 0
0.881000 0 0
0.891000 0 0
0.901000 0 0
0.911000 0 0
0.921000 0 0
0.931000 0 0
0.941000 0 0
0.951000 0 0
0.961000 0 0
0.971000 0 0
0.981000 0 0
0.991000 0 0
1.001000 0 0
1.011000 0 0
1.021000 0 0
1.031000 0 0
1.041000 0 0
1.051000 0 0
1.061000 0 0
1.071000 0 0
1.081000 0 0
1.091000 0 0
1.101000 0 0
1.111000 0 0
1.121000 0 0
1.131000 0 0
1.141000 0 0
1.151000 0 0
1.161000 0 0
1.171000 0 0
1.181000 0 0
1.191000 0 0
1.201000 0 0
1.211000 0 0
1.221000 0 0
1.231000 0 0
1.241000 0 0
1.251000 0 0
1.255000 0 0
1.261000 0 0
1.271000 0 0
1.281000 0 0
1.287000 0 0
1.291000 0 0
1.301000 0 0
1.311000 0 0
1.321000 0 0
1.331000 0 0
1.335000 0 0
1.341000 0 0
1.351000 0 0
1.361000 0 0
1.371000 0 0
1.381000 0 0
1.391000 0 0
1.401000 0 0
1.411000 0 0
1.420580 0 0
1.421000 0 0
1.431000 0 0
1.441000 0 0
1.451000 0 0
1.461000 0 0
1.471000 0 0
1.481000 0 0
1.490000 0 0
1.491000 0 0
1.501000 0 0
1.510000 0 0
1.511000 0 0
1.513000 0 0
1.519409 0 0
1.520000 0 0
1.520793 0 0
1.521000 0 0
1.525000 0 0
1.527000 0 0
1.529000 0 0
1.530793 0 0
1.531000 0 0
1.533000 0 0
1.535000 0 0
1.537000 0 0
1.539000 0 0
1.540000 0 0
1.541000 0 0
1.543000 0 0
1.550000 0 0
1.551000 0 0
1.559000 0 0
1.561000 0 0
1.567879 0 0
1.569000 0 0
1.570000 0 0
1.571000 0 0
1.575000 0 0
1.577000 0 0
1.577861 0 0
1.579000 0 0
1.580000 0 0
1.581000 0 0
1.583863 0 0
1.585000 0 0
1.587000 0 0
1.589000 0 0
1.591000 0 0
1.595000 0 0
1.601000 0 0
1.611000 0 0
1.621000 0 0
1.627000 0 0
1.631000 0 0
1.637000 0 0
1.641000 0 0
1.643000 0 0
1.651000 0 0
1.653000 0 0
1.656303 0 0
1.657000 0 0
1.661000 0 0
1.666303 0 0
1.667000 0 0
1.671000 0 0
1.680921 0 0
1.681000 0 0
1.685000 0 0
1.687000 0 0
1.689000 0 0
1.690921 0 0
1.691000 0 0
1.694415 0 0
1.695000 0 0
1.697000 0 0
1.699000 0 0
1.701000 0 0
1.705000 0 0
1.711000 0 0
1.720011 0 0
1.721000 0 0
1.730011 0 0
1.731000 0 0
1.741000 0 0
1.749000 0 0
1.751000 0 0
1.759000 0 0
1.759340 0 0
1.760000 0 0
1.761000 0 0
1.763000 0 0
1.767000 0 0
1.769000 0 0
1.769340 0 0
1.770000 0 0
1.771000 0 0
1.773000 0 0
1.777000 0 0
1.779000 0 0
1.781000 0 0
1.791000 0 0
1.800000 0 0
1.801000 0 0
1.809000 0 0
1.810000 0 0
1.811000 0 0
1.819000 0 0
1.820000 0 0
1.821000 0 0
1.830000 0 0
1.831000 0 0
1.841000 0 0
1.849000 0 0
1.851000 0 0
1.861000 0 0
1.867000 0 0
1.869000 0 0
1.871000 0 0
1.875000 0 0
1.877000 0 0
1.879000 0 0
1.881000 0 0
1.883841 0 0
1.885000 0 0
1.889000 0 0
1.891000 0 0
1.895000 0 0
1.899000 0 0
1.901000 0 0
1.911000 0 0
1.917000 0 0
1.921000 0 0
1.923000 0 0
1.927000 0 0
1.930000 0 0
1.931000 0 0
1.933000 0 0
1.939000 0 0
1.940000 0 0
1.941000 0 0
1.945000 0 0
1.949000 0 0
1.951000 0 0
1.955000 0 0
1.961000 0 0
1.971000 0 0
1.977000 0 0
1.981000 0 0
1.983000 0 0
1.987000 0 0
1.991000 0 0
1.993000 0 0
1.997000 0 0
2.001000 0 0
2.002745 0 0
2.003000 0 0
2.007000 0 0
2.010012 0 0
2.011000 0 0
2.012745 0 0
2.013000 0 0
2.019000 0 0
2.020012 0 0
2.021000 0 0
2.023000 0 0
2.029000 0 0
2.031000 0 0
2.033000 0 0
2.035000 0 0
2.039000 0 0
2.041000 0 0
2.043000 0 0
2.045000 0 0
2.049000 0 0
2.051000 0 0
2.053000 0 0
2.060000 0 0
2.061000 0 0
2.062491 0 0
2.063000 0 0
2.070000 0 0
2.071000 0 0
2.072491 0 0
2.072712 0 0
2.073000 0 0
2.080616 0 0
2.081000 0 0
2.082712 0 0
2.083000 0 0
2.090616 0 0
2.091000 0 0
2.091909 0 0
2.093000 0 0
2.101000 0 0
2.101909 0 0
2.103000 0 0
2.107000 0 0
2.111000 0 0
2.113000 0 0
2.116438 0 0
2.117000 0 0
2.121000 0 0
2.127000 0 0
2.131000 0 0
2.137000 0 0
2.141000 0 0
2.143000 0 0
2.147000 0 0
2.151000 0 0
2.153000 0 0
2.161000 0 0
2.171000 0 0
2.181000 0 0
2.183000 0 0
2.185000 0 0
2.190865 0 0
2.191000 0 0
2.193000 0 0
2.195000 0 0
2.200370 0 0
2.200865 0 0
2.201000 0 0
2.209000 0 0
2.210370 0 0
2.211000 0 0
2.213000 0 0
2.219000 0 0
2.221000 0 0
2.223000 0 0
2.227000 0 0
2.230000 0 0
2.231000 0 0
2.237000 0 0
2.240000 0 0
2.241000 0 0
2.251000 0 0
2.261000 0 0
2.270000 0 0
2.271000 0 0
2.273000 0 0
2.275000 0 0
2.280000 0 0
2.281000 0 0
2.283000 0 0
2.285000 0 0
2.291000 0 0
2.300000 0 0
2.301000 0 0
2.303000 0 0
2.310000 0 0
2.311000 0 0
2.313000 0 0
2.319000 0 0
2.321000 0 0
2.328289 0 0
2.329000 0 0
2.330481 0 0
2.331000 0 0
2.335000 0 0
2.339000 0 0
2.340481 0 0
2.341000 0 0
2.345000 0 0
2.349000 0 0
2.351000 0 0
2.357000 0 0
2.359000 0 0
2.360000 0 0
2.361000 0 0
2.363000 0 0
2.367000 0 0
2.371000 0 0
2.373000 0 0
2.377000 0 0
2.381000 0 0
2.387000 0 0
2.390000 0 0
2.391000 0 0
2.399000 0 0
2.400000 0 0
2.401000 0 0
2.409000 0 0
2.410432 0 0
2.411000 0 0
2.411666 0 0
2.412726 0 0
2.413000 0 0
2.420432 0 0
2.420564 0 0
2.421000 0 0
2.422726 0 0
2.423000 0 0
2.427000 0 0
2.430564 0 0
2.430994 0 0
2.431000 0 0
2.437000 0 0
2.440994 0 0
2.441000 0 0
2.451000 0 0
2.455000 0 0
2.461000 0 0
2.465000 0 0
2.470000 0 0
2.471000 0 0
2.480000 0 0
2.480497 0 0
2.481000 0 0
2.490497 0 0
2.491000 0 0
2.496422 0 0
2.497000 0 0
2.499000 0 0
2.501000 0 0
2.506422 0 0
2.507000 0 0
2.509000 0 0
2.511000 0 0
2.521000 0 0
2.531000 0 0
2.541000 0 0
2.551000 0 0
2.561000 0 0
2.571000 0 0
2.581000 0 0
2.591000 0 0
2.601000 0 0
2.611000 0 0
2.621000 0 0
2.631000 0 0
2.639000 0 0
2.641000 0 0
2.651000 0 0
2.661000 0 0
2.671000 0 0
2.681000 0 0
2.691000 0 0
2.701000 0 0
2.711000 0 0
2.721000 0 0
2.731000 0 0
2.741000 0 0
2.751000 0 0
2.761000 0 0
2.771000 0 0
2.781000 0 0
2.791000 0 0
2.801000 0 0
2.811000 0 0
2.821000 0 0
2.831000 0 0
2.841000 0 0
2.851000 0 0
2.861000 0 0
2.871000 0 0
2.881000 0 0
2.891000 0 0
2.901000 0 0
2.911000 0 0
2.921000 0 0
2.931000 0 0
2.941000 0 0
2.951000 0 0
2.961000 0 0
2.971000 0 0
2.981000 0 0
2.991000 0 0
3.001000 0 0
3.011000 0 0
3.021000 0 0
3.031000 0 0
3.041000 0 0
3.051000 0 0
3.061000 0 0
3.071000 0 0
3.081000 0 0
3.090350 0 0
3.091000 0 0
3.100350 0 0
3.101000 0 0
3.111000 0 0
3.121000 0 0
3.131000 0 0
3.141000 0 0
3.143000 0 0
3.151000 0 0
3.153000 0 0
3.161000 0 0
3.171000 0 0
3.181000 0 0
3.185000 0 0
3.191000 0 0
3.201000 0 0
3.211000 0 0
3.221000 0 0
3.231000 0 0
3.235000 0 0
3.240329 0 0
3.241000 0 0
3.250329 0 0
3.251000 0 0
3.260057 0 0
3.261000 0 0
3.267000 0 0
3.271000 0 0
3.280928 0 0
3.281000 0 0
3.283000 0 0
3.290928 0 0
3.291000 0 0
3.293000 0 0
3.297000 0 0
3.299000 0 0
3.301000 0 0
3.307000 1 0.302509
3.309000 1 0.302509
3.311000 1 0.302509
3.315000 1 0.302509
3.319000 1 0.302509
3.321000 1 0.302509
3.325000 2 0.601718
3.328080 3 0.901448
3.329000 3 0.901448
3.331000 3 0.901448
3.339000 4 1.19829
3.341000 4 1.19829
3.351000 4 1.19829
3.361000 4 1.19829
3.363000 4 1.19829
3.371000 4 1.19829
3.373000 4 1.19829
3.381000 4 1.19829
3.383000 4 1.19829
3.385000 4 1.19829
3.391000 4 1.19829
3.393000 5 1.47446
3.401000 5 1.47446
3.411000 5 1.47446
3.415000 5 1.47446
3.421000 5 1.47446
3.425000 5 1.47446
3.431000 5 1.47446
3.440000 5 1.47446
3.441000 5 1.47446
3.451000 5 1.47446
3.461000 5 1.47446
3.471000 5 1.47446
3.481000 5 1.47446
3.491000 5 1.47446
3.497000 5 1.47446
3.501000 5 1.47446
3.507000 6 1.7109
3.511000 6 1.7109
3.520000 6 1.7109
3.521000 6 1.7109
3.530000 7 1.98336
3.531000 7 1.98336
3.535000 7 1.98336
3.541000 7 1.98336
3.545000 7 1.98336
3.551000 7 1.98336
3.561000 7 1.98336
3.571000 7 1.98336
3.581000 7 1.98336
3.591000 7 1.98336
3.597000 7 1.98336
3.601000 7 1.98336
3.607000 8 2.21872
3.611000 8 2.21872
3.620644 8 2.21872
3.621000 8 2.21872
3.630091 8 2.21872
3.630644 8 2.21872
3.631000 8 2.21872
3.640091 8 2.21872
